0,^ CREDIT DISTRIBUTION ^,*,*,16 credits.,college_queries.aiml
0,^ DURATION ^ SEMESTER ^,*,*,6 months.,college_queries.aiml
0,^ AREAS OF SPECIALIZATION,*,*,Mtech CSE or Mtech ECE?,college_queries.aiml
0,^ AREAS OF SPECIALIZATION FOR MTECH CSE,*,*,Theory and Systems#Comma Networking and communication#Comma Data Science#Comma Signal Processing and Pattern Recognition.,college_queries.aiml
0,^ AREAS OF SPECIALIZATION FOR MTECH ECE,*,*,VLSI Systems#Comma Networking and communication#Comma Data Science#Comma Signal Processing and Pattern Recognition.,college_queries.aiml
0,HOW MANY ELECTIVES HAVE TO BE COMPLETED BY EACH STUDENT,*,*,5 electives have to be completed by each student.,college_queries.aiml
0,HOW MANY ELECTIVES UNDER A PARTICULAR SPECIALIZATION HAVE TO BE COMPLETED FOR SPECIALIZATION DEGREE ^,*,*,5 electives have to be completed.,college_queries.aiml
0,HOW MANY PROJECT ELECTIVE OR RESEARCH ELECTIVE COURSES ARE ALLOWED TO BE OPTED PER SEMESTER ^,*,*,1 Project Elective or Research Elective,college_queries.aiml
0,WHAT IS THE DURATION,*,*,Duration of which of the following Masters thesis#Comma Mtech program#Comma MSc Digital Society program#Comma Master of Science by Research program#Comma Doctor of Philosophy(PhD) program#Comma IMTech program?,college_queries.aiml
0,^ DURATION OF MTECH THESIS ^,*,*,24 weeks,college_queries.aiml
0,^ DURATION OF MTECH PROGRAM ^,*,*,2 years,college_queries.aiml
0,^ DURATION OF MSC DIGITAL SOCIETY ^,*,*,2 years,college_queries.aiml
0,^ DURATION OF MASTER OF SCIENCE BY RESEARCH ^,*,*,3-5 years,college_queries.aiml
0,^ DURATION OF DOCTOR OF PHILOSOPHY(PHD) ^,*,*,5-7 years,college_queries.aiml
0,^ DURATION OF IMTECH PROGRAM ^,*,*,5 years,college_queries.aiml
0,CREDITS * THESIS,*,*,20 credits,college_queries.aiml
0,PROGRAMS OFFERED,*,*,The Institute offers MS#Comma M.Tech#Comma Integrated MTech programs and Ph.D.,college_queries.aiml
0,AVAILABLE BRANCHES,*,*,Computer Science and Engineering#CommaElectronics and Communication Engineering and Digital Society.,college_queries.aiml
0,# PART TIME PROGRAM #,*,*,Institute only offers part time PhD program.,college_queries.aiml
0,WHAT IS THE ELIGIBILITY CRITERIA,*,*,Eligibility criteria for which of the following Mtech program#Comma MS program#Comma IMTech CSE program#Comma IMTech ECE program#Comma MSc Digital Society program#Comma PhD program?,college_queries.aiml
0,^ ELIGIBILITY CRITERIA * MTECH PROGRAM ^,*,*,For CSE the gate score should be above 640 and for ECE above 600.,college_queries.aiml
0,^ ELIGIBILITY CRITERIA * MS PROGRAM ^,*,*,Candidates are shortlisted based on GATE Scores and called for interviews.,college_queries.aiml
